CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Weight,Price,Brand_Acer,Brand_Apple,Brand_Asus,Brand_Dell,Brand_HP,Brand_LG,Brand_Lenovo,Brand_MSI,Brand_Microsoft,Brand_Other,OS_Other,OS_Windows 10,OS_Windows 11
24971.0,4253.0,15.6,1920,1080,16.0,512.0,1.59,1131.89,False,False,False,True,False,False,False,False,False,False,False,True,False
3855.0,891.0,14.0,1366,768,8.0,1024.0,1.27,409.0,False,False,False,False,True,False,False,False,False,False,False,True,False
38538.0,22064.0,16.0,2560,1600,32.0,1024.0,2.9,3391.63,False,False,False,False,False,False,True,False,False,False,False,True,False
15287.0,2690.0,15.6,1920,1080,16.0,512.0,2.68,853.0,False,False,False,True,False,False,False,False,False,False,False,False,True
23728.0,12961.0,15.6,1920,1200,32.0,512.0,3.64,1924.22,False,False,False,True,False,False,False,False,False,False,False,False,True
17139.0,2040.0,14.0,1920,1200,32.0,1024.0,1.4,1325.61,False,False,False,False,True,False,False,False,False,False,False,True,False
13554.0,2690.0,14.0,2240,1400,64.0,4096.0,2.48,1439.0,False,False,False,True,False,False,False,False,False,False,False,False,True
764.0,1476.0,14.0,1366,768,4.0,64.0,1.73,259.99,False,False,False,False,True,False,False,False,False,False,False,True,False
8473.0,12961.0,15.6,1920,1080,16.0,1024.0,1.5,1229.0,True,False,False,False,False,False,False,False,False,False,False,False,True
157.0,1476.0,15.6,1920,1080,12.0,128.0,2.23,458.14,False,False,False,False,False,False,True,False,False,False,False,False,True
3030.0,926.0,14.0,1600,900,8.0,1024.0,1.73,1649.99,False,False,False,False,False,False,True,False,False,False,True,False,False
16980.0,2690.0,14.0,1920,1080,8.0,256.0,1.23,689.99,False,False,False,False,False,False,True,False,False,False,False,False,True
9891.0,926.0,15.6,1920,1080,16.0,512.0,1.86,475.0,False,False,False,True,False,False,False,False,False,False,False,False,True
4390.0,1476.0,14.0,1920,1080,8.0,256.0,1.6,449.99,False,False,False,False,False,False,True,False,False,False,False,True,False
1628.0,564.0,15.6,1366,768,8.0,128.0,2.0,299.0,False,False,True,False,False,False,False,False,False,False,False,True,False
26423.0,17089.0,15.6,1920,1080,16.0,1024.0,2.25,1609.0,False,False,False,False,False,False,False,True,False,False,False,False,True
6132.0,1476.0,15.6,1366,768,8.0,256.0,1.72,469.79,False,False,False,False,True,False,False,False,False,False,False,True,False
21493.0,2690.0,13.3,1920,1080,8.0,256.0,1.35,1017.04,False,False,False,True,False,False,False,False,False,False,False,False,True
7646.0,11706.0,15.6,1920,1080,16.0,512.0,1.86,889.0,False,False,False,False,False,False,False,True,False,False,False,False,True
18825.0,1792.0,15.6,1920,1080,8.0,256.0,1.55,930.12,False,False,False,False,True,False,False,False,False,False,False,False,True
23728.0,12961.0,15.6,1920,1200,16.0,2000.0,3.64,1971.58,False,False,False,True,False,False,False,False,False,False,False,False,True
16980.0,4253.0,14.0,1920,1080,16.0,256.0,2.43,894.99,False,False,False,True,False,False,False,False,False,False,False,False,True
19333.0,5051.0,16.0,1920,1080,16.0,512.0,2.0,1089.0,False,False,False,False,False,False,True,False,False,False,False,True,False
7460.0,926.0,15.6,1920,1080,8.0,512.0,1.77,544.49,False,False,False,True,False,False,False,False,False,False,False,False,True
2010.0,3729.0,16.0,2560,1600,8.0,512.0,1.9,599.0,False,False,False,False,False,False,True,False,False,False,False,False,True
35380.0,10018.0,14.2,3024,1964,96.0,1024.0,1.6,3999.0,False,True,False,False,False,False,False,False,False,False,False,True,False
32140.0,19560.0,16.0,1920,1080,16.0,512.0,0.87,1327.98,False,False,True,False,False,False,False,False,False,False,False,False,True
17868.0,3436.0,14.0,1920,1200,16.0,256.0,1.49,1126.95,False,False,False,False,False,False,True,False,False,False,False,True,False
6132.0,1476.0,15.6,1920,1080,8.0,256.0,1.46,509.0,False,False,False,False,False,False,True,False,False,False,False,True,False
1556.0,1476.0,14.0,1920,1080,4.0,64.0,1.23,332.99,False,False,False,False,True,False,False,False,False,False,False,True,False
15084.0,1792.0,14.0,1920,1080,16.0,256.0,1.5,860.99,False,False,False,False,False,False,True,False,False,False,False,True,False
16506.0,240.0,16.0,1920,1200,16.0,256.0,1.97,779.5,False,False,False,False,False,False,True,False,False,False,False,True,False
3310.0,1476.0,11.6,1366,768,4.0,64.0,1.51,468.95,False,False,False,False,True,False,False,False,False,False,False,True,False
17329.0,2690.0,14.0,1920,1080,8.0,512.0,1.25,662.0,True,False,False,False,False,False,False,False,False,False,False,False,True
20247.0,1971.0,17.0,2560,1600,16.0,512.0,1.4,1049.0,False,False,False,False,False,True,False,False,False,False,False,True,False
6256.0,1476.0,14.0,1920,1080,16.0,512.0,1.4,900.0,False,False,False,True,False,False,False,False,False,False,False,True,False
24971.0,2690.0,15.6,1920,1080,16.0,1024.0,1.74,1069.0,False,False,False,True,False,False,False,False,False,False,False,True,False
16980.0,2690.0,17.3,1920,1080,16.0,1024.0,1.41,829.0,False,False,False,False,True,False,False,False,False,False,False,False,True
11027.0,1476.0,14.0,1920,1200,8.0,256.0,1.03,415.0,False,False,False,False,False,False,True,False,False,False,False,False,True
29690.0,19560.0,16.0,1920,1200,16.0,512.0,3.39,1199.99,False,False,True,False,False,False,False,False,False,False,False,False,True
8553.0,1476.0,14.0,1920,1080,32.0,256.0,3.42,659.0,False,False,False,True,False,False,False,False,False,False,False,True,False
35380.0,13357.0,16.2,3456,2234,48.0,4096.0,2.2,4999.0,False,True,False,False,False,False,False,False,False,False,False,True,False
21525.0,12961.0,15.6,1920,1080,8.0,256.0,2.55,1272.8,False,False,False,True,False,False,False,False,False,False,False,False,True
15287.0,1971.0,15.6,1920,1080,16.0,512.0,1.81,969.99,False,False,False,True,False,False,False,False,False,False,False,True,False
9891.0,2690.0,15.6,1920,1080,32.0,1024.0,1.68,514.99,False,False,False,True,False,False,False,False,False,False,False,False,True
26364.0,7108.0,14.0,2560,1600,32.0,1024.0,1.4,1832.5,False,False,False,False,True,False,False,False,False,False,False,True,False
26454.0,7320.0,18.0,2560,1600,16.0,1000.0,3.64,2002.39,False,False,False,True,False,False,False,False,False,False,False,False,True
14043.0,1476.0,14.0,1920,1080,32.0,256.0,1.3,1299.0,False,False,False,True,False,False,False,False,False,False,False,False,True
19333.0,2690.0,16.0,2560,1600,16.0,1024.0,1.36,1333.81,False,False,False,False,False,True,False,False,False,False,True,False,False
26423.0,22459.0,15.6,1920,1080,24.0,1024.0,2.25,1639.0,False,False,False,False,False,False,False,True,False,False,False,False,True
28003.0,7320.0,15.6,1920,1080,16.0,1024.0,1.02,1459.0,False,False,False,False,False,False,True,False,False,False,False,False,True
23062.0,4253.0,14.0,1920,1080,8.0,1024.0,3.65,1664.9,False,False,False,True,False,False,False,False,False,False,False,True,False
13554.0,2690.0,17.3,1600,900,32.0,1024.0,2.17,699.79,False,False,False,False,True,False,False,False,False,False,False,False,True
3122.0,25351.0,17.3,1920,1080,64.0,1000.0,1.34,2462.15,False,False,False,True,False,False,False,False,False,False,False,False,True
9891.0,926.0,15.6,1920,1080,32.0,1024.0,1.77,599.79,False,False,False,True,False,False,False,False,False,False,False,False,True
15084.0,12961.0,15.6,1920,1080,8.0,256.0,2.15,699.0,True,False,False,False,False,False,False,False,False,False,False,True,False
19453.0,12961.0,15.6,1920,1080,16.0,512.0,2.22,739.99,True,False,False,False,False,False,False,False,False,False,False,False,True
17229.0,12961.0,16.0,2560,1600,16.0,512.0,3.18,1585.88,False,False,False,False,False,False,False,True,False,False,False,True,False
9891.0,2690.0,15.6,1920,1080,12.0,256.0,1.77,563.79,False,False,False,False,False,False,True,False,False,False,False,True,False
2499.0,1476.0,14.0,1366,768,8.0,500.0,1.63,251.98,False,False,False,False,False,False,True,False,False,False,False,True,False
