,Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price,CPU Brand,GPU Brand
1758,hp,17329.0,2690.0,15.6,1920,1080,32.0,2048.0,Windows 11,2.51,799.99,intel,intel
1759,lenovo,13467.0,12984.0,14.0,1920,1080,8.0,512.0,Windows 10,1.77,719.99,amd,radeon
1760,hp,7460.0,1042.0,14.0,1920,1080,32.0,256.0,Windows 10,1.72,689.79,intel,intel
1761,lenovo,15853.0,1792.0,14.0,2240,1400,16.0,2048.0,Windows 11,1.77,749.0,amd,radeon
1762,lenovo,15084.0,1792.0,14.0,1920,1080,16.0,256.0,Windows 11,1.59,699.99,amd,radeon
1763,lenovo,3052.0,14124.0,16.0,1920,1080,32.0,1024.0,Windows 10,0.45,2239.0,intel,geforce
1764,dell,7460.0,926.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.77,592.79,intel,intel
1765,hp,9891.0,926.0,15.6,1920,1080,16.0,256.0,Windows 10,1.77,536.99,intel,intel
1766,acer,20753.0,17089.0,16.0,2560,1600,16.0,2048.0,Windows 10,2.41,1749.0,intel,geforce
1767,apple,14191.0,1506.0,13.3,2560,1600,8.0,512.0,MacOS,1.3,1099.0,apple,intel
1769,lenovo,26364.0,7108.0,16.0,1920,1200,16.0,512.0,Windows 11,1.15,1949.99,amd,radeon
1770,dell,1218.0,1476.0,15.6,1920,1080,8.0,512.0,Windows 10,1.74,563.68,intel,intel
1771,acer,178.0,1645.0,15.6,1920,1080,8.0,256.0,Windows 11,1.81,519.0,amd,radeon
1772,lenovo,28906.0,7320.0,15.6,1920,1080,16.0,512.0,Windows 11,1.66,1215.47,amd,geforce
1773,hp,13554.0,2690.0,13.5,3200,1800,8.0,128.0,Chrome OS,2.68,1299.0,intel,intel
1774,acer,30593.0,26876.0,16.0,2560,1600,16.0,1024.0,Windows 11,2.73,1715.99,amd,geforce
1775,lenovo,28003.0,22064.0,16.0,3840,2400,32.0,1024.0,Windows 10,1.78,2662.5,intel,nvidia
1776,dell,17229.0,4601.0,16.0,3840,2400,64.0,512.0,Windows 11,1.22,1149.0,intel,geforce
1777,acer,3828.0,1792.0,15.6,1920,1080,16.0,512.0,Windows 10,1.77,582.79,amd,radeon
1778,lenovo,16506.0,240.0,16.0,1920,1200,8.0,256.0,Windows 10,1.97,648.5,amd,radeon
1779,lenovo,15853.0,1792.0,15.6,1920,1080,40.0,1024.0,Windows 10,1.77,899.99,amd,radeon
