,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Storage Type,OS,Weight,Price
3462,Asus,Intel Core i9 9900   3.10GHz,16605.0,GeForce RTX 3070 Ti,23757.0,15.6,2560.0,1440.0,32768.0,1048576.0,SSD,Windows 11,2.30,2249.0
3463,HP,Intel Core i7 13700H,28003.0,GeForce RTX 4060,19560.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,2.42,1126.9
3464,HP,Intel Core i5 13420H,18753.0,Intel Iris Pro Graphics 6200,1449.0,13.3,1366.0,768.0,8192.0,262144.0,SSD,Windows 11,1.33,624.98
3465,Acer,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,8192.0,262144.0,SSD,Windows 11,1.91,599.0
3467,MSI,Intel Core i7 8700   3.20GHz,12898.0,Intel Iris Pro Graphics 6200,1449.0,14.0,1920.0,1080.0,32768.0,2097152.0,SSD,Windows 11,1.29,1369.0
3469,Dell,Intel Celeron 1.70GHz,101.0,Intel UHD Graphics,1476.0,15.6,1366.0,768.0,8192.0,131072.0,SSD,Windows 10,1.77,378.0
3471,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,15.6,2560.0,1440.0,32768.0,1024000.0,SSD,Windows 11,3.64,1905.07
3474,Asus,Intel Core i7 13650HX,32140.0,GeForce RTX 4060,19560.0,15.6,1920.0,1200.0,32768.0,1048576.0,SSD,Windows 11,2.50,1939.99
3475,Panasonic,Intel Core i5 4310U   2.00GHz,2542.0,Intel UHD Graphics 600,324.0,14.0,1366.0,768.0,16384.0,524288.0,SSD,Windows 10,,479.26
3478,Lenovo,AMD Ryzen 7 6800H,23656.0,GeForce RTX 3070 Ti,23757.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,2.41,1799.0
3482,Acer,Intel Core i5 11300H   3.10GHz,10984.0,GeForce RTX 2050,7320.0,16.0,1920.0,1200.0,32768.0,1048576.0,SSD,Windows 10,,1549.0
3483,Lenovo,Intel Core i5 1335U,16980.0,Intel Iris Pro Graphics 6200,1449.0,14.0,2240.0,1400.0,8192.0,1048576.0,SSD,Windows 11,1.55,859.99
3484,HP,Intel Core i7 2600S   2.80GHz,4602.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,1.77,1209.99
3485,Asus,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,16384.0,2097152.0,SSD,Windows 11,,589.0
3488,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3060,17089.0,14.0,1920.0,1080.0,16384.0,4096000.0,SSD,Windows 11,3.64,2632.0
3490,Asus,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,12288.0,524288.0,SSD,Windows 10,,569.0
