,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
1200,Dell,Intel Core i7 8665U   1.90GHz,6256,Intel UHD Graphics,1476,14,1920,1080,16384,524288,Windows 10,1.4,900
1201,Acer,Intel Celeron N4500   1.10GHz,2003,Intel UHD Graphics,1476,15.6,1920,1080,4096,65536,ChromeOS,1.59,339.33
1202,Lenovo,Intel Core i3 1115G4   3.00GHz,6132,Intel UHD Graphics,1476,14,1920,1080,20480,1048576,Windows 11,1.5,405
1203,Asus,Intel Core i5 12500H,21525,Intel Iris Xe,2690,13.4,1920,1200,16384,524288,Windows 11,1.14,1148.64
1204,Dell,Intel Core i5 12450H,17441,Intel UHD Graphics,1476,15.6,1920,1080,32768,1048576,Windows 11,1.7,649
1205,Razer,Intel Core i7 9750H   2.60GHz,10936,GeForce RTX 2080,18796,17.3,1920,1080,16384,524288,Windows 10,2.75,3076.16
1206,Lenovo,Intel Core i3 10110U   2.10GHz,3919,Intel UHD Graphics,1476,13.3,1920,1080,4096,65536,ChromeOS,2.26,399
1207,Acer,AMD Ryzen 7 5700U,15853,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1920,1080,8192,524288,Windows 10,1.77,570.22
1208,Lenovo,Intel Core i7 4560U   1.60GHz,2950,Intel Iris Xe,2690,14,2240,1400,16384,524288,Windows 11,2.32,535.99
1209,Dell,AMD Ryzen 7 5825U,18462,GeForce MX550,4601,15.6,1920,1080,16384,1048576,Windows 11,1.64,1009
1210,LG,Intel Core i7 1250U,12421,Intel Iris Xe,2690,17,2560,1600,32768,2097152,Windows 11,1.45,1396.99
1211,MSI,Intel Core i7 12700H,26423,GeForce RTX 3060,17089,17.3,1920,1080,65536,2097152,Windows 11,2.6,1999.99
1212,Dell,Intel Core i5 8350U   1.70GHz,6226,Intel HD Graphics 620,926,14,1920,1080,8192,262144,Windows 10,2.27,249.99
1213,HP,Intel Core i5 3340M   2.70GHz,2695,Intel UHD Graphics,1476,14,1366,768,4096,327680,Windows 10,2.49,188.98
1214,Samsung,Intel Core i5 1240P,17329,Intel Arc,4253,13.3,1920,1080,8192,262144,Windows 11,0.86,838.05
1215,Acer,AMD Ryzen 7 7840HS,28906,GeForce RTX 4060,19560,17.3,2560,1600,32768,1048576,Windows 11,3,1649
1216,Dell,Intel Core i5 1135G7   2.40GHz,9891,Intel Iris Xe,2690,15.6,1366,768,16384,1048576,Windows 10,5.89,944.27
1217,Dell,AMD Ryzen 5 5625U,15084,Ryzen 3 4300G with Radeon Graphics,2040,14,1920,1200,32768,2097152,Windows 10,3.86,1099
1218,Asus,Intel Core i5 1135G7   2.40GHz,9891,Intel Iris Xe,2690,15.6,1920,1080,8192,524288,Windows 10,1.82,639.99
1219,Dell,Intel Core i7 13705H,23728,GeForce RTX 3070 Ti,23757,17.3,2560,1440,32768,1024000,Windows 11,3.64,2815.44
1220,Acer,Intel Core i7 11600H   2.90GHz,16162,GeForce RTX 3060,17089,16,1920,1080,65536,2097152,Windows 10,2.45,1949
1221,HP,Intel Core i7 1355U,15287,GeForce MX550,4601,15.6,1920,1080,32768,1048576,Windows 11,2.06,1139
1222,Lenovo,Intel Core i5 10210U   1.60GHz,6228,Intel UHD Graphics 620,1042,3,1920,1080,8192,262144,Windows 10,1.68,499
1223,Dell,Intel Core i7 870   2.93GHz,3122,GeForce RTX 3050,12961,17,1920,1200,32768,1048576,Windows 11,2.32,1754.36
1224,MSI,Intel Core i7 12650H,23276,GeForce RTX 2050,7320,15.6,1920,1080,16384,524288,Windows 11,1.86,1199
1225,Dell,Intel Core i9 13980HX,48083,GeForce RTX 3070 Ti,23757,17.3,1920,1080,32768,524288,Windows 11,3.64,2218.44
1226,HP,AMD Embedded R Series RX 216GD,1628,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1920,1080,8192,262144,Windows 10,1.86,502.95
1227,Asus,Intel Core i7 13620H,26454,GeForce RTX 3050,12961,15.6,1920,1080,16384,2097152,Windows 11,1.8,1529.99
1228,MSI,Intel Core i7 12700H,26423,GeForce RTX 3060,17089,17.3,1920,1080,16384,2097152,Windows 10,2.82,1759.99
1229,Microsoft,Intel Core i5 6300HQ   2.30GHz,4693,Intel HD Graphics 620,926,13.5,3840,2160,8192,131072,Windows 10,2.24,552.2
1230,Lenovo,AMD Ryzen 5 5625U,15084,Intel Iris Xe,2690,15.6,1920,1080,12288,262144,Windows 8.1,1.65,478.99
1231,Acer,Intel Core i5 10200H   2.40GHz,8185,GeForce RTX 3050,12961,15.6,1920,1080,16384,524288,Windows 10,2.3,1119
1232,Dell,Intel Core i9 13900HX,44977,GeForce RTX 4060,19560,15.6,1920,1080,32768,1048576,Windows 11,2.15,1929
1233,HP,Intel Core i7 1165G7   2.80GHz,10346,Intel Iris Xe,2690,15.6,1920,1080,16384,1048576,Windows 10,2.01,909
1234,Dell,Intel Core i7 1165G7   2.80GHz,10346,Intel Iris Xe,2690,15.6,1920,1080,8192,524288,Windows 10,1.86,1005.29
1235,Best Notebooks,Intel Core i9 12900HK,28085,GeForce RTX 3050,12961,15.6,1920,1200,16384,2097152,Windows 11,2.05,3599
1236,Dell,Intel Core i9 13900H,29690,GeForce GTX 1050,5051,18,1920,1200,32768,1024000,Windows 11,3.64,2357.24
1237,HP,Intel Core i5 1035G1   1.00GHz,7460,Intel UHD Graphics,1476,15.6,1366,768,12288,262144,Windows 10,2.18,462
1238,GIGABYTE,Intel Core i7 13700H,28003,GeForce RTX 4070,26876,16,2560,1600,16384,1048576,Windows 11,2.6,1699
1239,Lenovo,Intel Core i5 1334U,12802,Intel Iris Xe,2690,14,1920,1080,16384,262144,Windows 11,2.52,987.99
