,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
61,ASUS,ROG Strix G16,Intel Intel Core i9 Intel Core i9-13980HX 5.6 GHz,NVIDIA GeForce RTX 4070,16 GB,16 Inches,1920 x 1200 pixels,1 TB SSD,Windows 11 Home,7 Pounds,1699.99
62,ASUS,F412DA-WS33,AMD Ryzen 3 3250U Ryzen 3 3250U 2 GHz,AMD Radeon Graphics,8 GB,14 Inches,1920 x 1080 pixels,1 TB SSD,Windows 10 Pro,3.2 Pounds,739.99
63,LG,,,Integrated,16 GB,17,,1 TB,Windows 11 Home,,1199.0
64,Lenovo,Lenovo IdeaPad Gaming 3,AMD Ryzen 5 5600H 3.3,NVIDIA GeForce GTX 1650,8 GB,15.6,1920 x 1080 pixels,256 GB SSD,Windows 11,6.89 Pounds,608.0
65,ASUS,ProArt StudioBook 16,Intel Core i9 Intel Core i9-13980HX 5.6 GHz,NVIDIA GeForce RTX 4060,32 GB,16 Inches,3840 x 2160 pixels,32 GB SSD,Windows 11 Home,12.6 Pounds,2089.99
66,ASUS,K3605VC-AS96,Intel Intel Core i9 Intel Core i9-13900H 5.4 GHz,NVIDIA GeForce RTX 3050,16 GB,16 Inches,1920 x 1200 pixels,1 TB SSD,Windows 11 Home,4.25 Pounds,1189.0
67,Dell,Dell Inspiron 16 7630 Laptop,Intel Core i7 Family 13700H 5 GHz,NVIDIA GeForce RTX 3050,16 GB,16 Inches,2560 x 1600 pixels,512 GB SSD,Windows 11 Pro,4.7 Pounds,1289.99
68,HP,Omen 17T-CK200,Intel Intel Core i9 Intel Core i9-13900HX 2.9 GHz,NVIDIA GeForce RTX 4090,64 GB,17.3 Inches,2560 x 1440,8 TB SSD,Windows 11 Pro,6.2 Pounds,4339.0
69,Lenovo,ThinkPad 11e Commercial Notebook PC,Intel Celeron N N4100 2.4 GHz,Intel UHD Graphics 600,4 GB,11.6 Inches,,128 GB SSD,Windows 10 Pro,3.5 Pounds,286.0
70,MSI,Prestige 14 H B13UCX-601US,Intel Core i9 i9-13900H 2.6 GHz,NVIDIA,32 GB,14 Inches,1920 x 1080 pixels,,Windows 11 Home,,1299.0
71,Dell,XPS 15 9500,Intel Core i9 2.4 GHz,NVIDIA GeForce GTX 1650,32 GB,15.6 Inches,1920 x 1200,1 TB SSD,Windows 10 Home,,2166.75
72,ASUS,TUF Gaming F15,Intel Core i5 Intel Core i5-11400H 4.5 GHz,NVIDIA,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,7.89 Pounds,930.13
73,acer,,Intel Core i5 3.1 GHz,NVIDIA GeForce RTX 3050,32 GB,17.3 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Pro,6.61 Pounds,989.0
74,MSI,Cyborg 15 A12UCX-276US,Intel Core i5 Family i5-12450H 1.3 GHz,NVIDIA GeForce RTX 2050,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,4.4 Pounds,687.09
75,HP,15-ey0013dx,AMD AMD R Series Ryzen 5 5625U 2.3 GHz,AMD,8 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 11 Home,4 Pounds,538.99
76,Lenovo,IdeaPad,Intel Core i5 Family i5 3.1 GHz,NVIDIA GeForce MX450,8 GB,16 Inches,2560 x 1600 pixels,512 GB SSD,Windows 11 Home,4.19 Pounds,599.0
77,acer,SFX14-42G-R607,AMD Ryzen 7 Ryzen 7 5825U 4.5 GHz,NVIDIA GeForce RTX 3050,16 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,3.06 Pounds,918.56
78,MSI,Pulse 17 B13VGK-887US,Intel Core i9-13900K Intel® Core™ i9-13900H 2.6 GHz,NVIDIA GeForce RTX 4070,32 GB,17 Inches,2560 x 1440 pixels,1 TB SSD,Windows 11 Home,6 Pounds,1899.0
79,Lenovo,130-15AST,Intel AMD A Series AMD A9-9425 2.5 GHz,AMD Radeon R5,4 GB,15.6 Inches,1920 x 1080 pixels,128 GB SSD,Windows 10 Home,4.6 Pounds,529.99
80,acer,Nitro 5,Intel Core i5 i5-12500H 2.5 GHz,NVIDIA GeForce RTX 3050,32 GB,17.3 Inches,1920 x 1080 pixels,2 TB SSD,Windows 11 Home,6.6 Pounds,1118.0
81,GIGABYTE,AORUS 15 BKF-73US754SH,Intel Core i7 13700H 5 GHz,NVIDIA GeForce RTX 4060,16 GB,15.6,2560 x 1440 pixels,1 TB SSD,Windows 11 Home,4.96 Pounds,1399.0
82,ASUS,TUF Gaming A15,AMD Ryzen 7 Ryzen 7 7735HS Mobile 4.7 GHz,NVIDIA GeForce RTX 4050,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,8.75 Pounds,1144.99
83,ASUS,Rog Strix Scar G533Z,Intel Intel Core i9 Intel Core i9-12900H 2.9 GHz,NVIDIA GeForce RTX 3070 Ti,64 GB,15.6 Inches,2560 x 1440 pixels,2 TB SSD,Windows 11 Pro,5.1 Pounds,2619.0
84,HP,HP Victus,Intel Intel Core i7 Intel Core i7 13700H 5 GHz,NVIDIA GeForce RTX 4060,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,5.06 Pounds,649.0
