,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Price,New Weight
1191,HP,Intel Celeron 5205U   1.90GHz,1458.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,8192.0,131072.0,Windows 10,600.68,3.13
1192,Acer,AMD Ryzen 7 7735HS,24268.0,GeForce RTX 2050,7320.0,17.3,1920.0,1080.0,32768.0,2097152.0,Windows 11,1569.0,2.61
1193,Asus,Intel Core i7 12650H,23276.0,GeForce RTX 3060,17089.0,15.6,2880.0,1620.0,16384.0,524288.0,Windows 11,1279.0,2.1
1194,Dell,Intel Core i3 N300,8475.0,Intel UHD Graphics,1476.0,13.3,1920.0,1080.0,8192.0,262144.0,Windows 11,525.51,1.2
1195,Dell,Intel Core i7 13650HX,32140.0,GeForce RTX 2050,7320.0,15.6,1920.0,1080.0,24576.0,1048576.0,Windows 10,1369.0,1.68
1196,Dell,Intel Core i5 12450H,17441.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,262144.0,Windows 11,627.95,2.17
1197,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,262144.0,Windows 11,699.0,2.15
1198,Microsoft,Intel Core i5 1230U,10779.0,Intel Arc,4253.0,14.4,2560.0,1600.0,16384.0,524288.0,Windows 10,1388.99,1.67
1199,Dell,Intel Core Duo L2300   1.50GHz,387.0,Intel HD Graphics 620,926.0,13.3,1920.0,1080.0,8192.0,131072.0,Windows 10,999.99,1.2
1200,Dell,Intel Core i7 8665U   1.90GHz,6256.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,16384.0,524288.0,Windows 10,900.0,1.4
1201,Acer,Intel Celeron N4500   1.10GHz,2003.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,4096.0,65536.0,ChromeOS,339.33,1.59
