,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
4545,Dell,Intel Celeron N4020   1.10GHz,1556.0,Intel UHD Graphics 600,324.0,11.6,1366,768,4.0,32.0,Chrome OS,2.22,329.99
4546,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel HD Graphics 620,926.0,15.6,1920,1080,16.0,512.0,Windows 11,1.77,518.76
4547,Dell,Intel Core i5 1035G1   1.00GHz,7460.0,Intel UHD Graphics,1476.0,15.6,1920,1080,16.0,512.0,Windows 10,2.46,574.79
4548,Acer,Intel Core i5 12450H,17441.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.21,649.0
4549,Asus,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,15.6,4,3840,16.0,4096.0,Windows 11,2.02,2694.99
4550,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 3060,17089.0,16.0,2560,1600,32.0,1024.0,Windows 10,2.77,1599.0
4551,HP,AMD Ryzen 5 5625U,15084.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,15.6,1920,1080,16.0,512.0,Windows 11,1.53,662.99
4552,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,15.6,1920,1200,32.0,1000.0,Windows 11,3.64,1955.4
4553,MSI,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,17.3,1920,1080,16.0,1024.0,Windows 11,2.91,1599.0
4554,Acer,Intel Core i3 1005G1   1.20GHz,4982.0,Intel HD Graphics 620,926.0,15.6,1920,1080,4.0,512.0,Windows 10,1.77,579.99
4555,Acer,Intel Core i5 1240P,17329.0,GeForce RTX 3050,12961.0,15.6,1920,1080,24.0,2048.0,Windows 10,2.1,989.0
4556,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,17.3,1600,900,4.0,256.0,Windows 11,2.41,395.0
4557,Lenovo,Intel Core i7 4558U   2.80GHz,3052.0,Intel UHD Graphics,1476.0,15.6,1920,1080,16.0,256.0,Windows 10,0.45,510.29
4558,Asus,Intel Core i7 12650H,23276.0,GeForce RTX 3070,22459.0,15.6,1920,1080,32.0,1024.0,Windows 10,2.0,1649.0
4559,HP,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,13.5,3200,1800,8.0,128.0,Chrome OS,2.68,1299.0
4560,Lenovo,AMD Ryzen 5 5500U,13144.0,Radeon Pro Vega 64,12984.0,14.0,1920,1080,12.0,512.0,Windows 10,1.41,679.99
4561,Lenovo,Intel Core i9 13900HX,44977.0,GeForce RTX 4070,26876.0,16.0,2560,1600,64.0,4096.0,Windows 11,2.55,2879.0
4562,MSI,Intel Core i9 13900H,29690.0,GeForce RTX 4070,26876.0,17.3,1920,1080,64.0,4096.0,Windows 11,1.36,2449.0
4563,HP,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Arc,4253.0,15.6,1920,1080,16.0,512.0,Windows 11,1.73,458.0
4565,Lenovo,Intel Core i5 1335U,16980.0,Intel UHD Graphics,1476.0,14.0,1920,1200,16.0,512.0,Windows 10,1.84,863.64
4566,GIGABYTE,Intel Core i7 12650H,23276.0,GeForce RTX 4060,19560.0,15.6,1920,1080,16.0,512.0,Windows 11,1.52,999.49
4567,HP,Intel Celeron N3060   1.60GHz,658.0,Intel HD Graphics 620,926.0,14.0,1366,768,4.0,32.0,Windows 10,1.44,302.0
4568,LG,Intel Core i7 1360P,19333.0,Intel Iris Xe,2690.0,16.0,2560,1600,32.0,2048.0,Windows 11,1.2,1899.94
4569,Microsoft,Intel Core i5 12500TE,14501.0,Intel Iris Xe,2690.0,12.4,1536,1024,16.0,512.0,Windows 11,1.66,1239.99
4570,Toshiba,Intel Core i7 12700H,26423.0,Intel HD Graphics 620,926.0,13.3,1366,768,8.0,256.0,Windows 10,2.27,749.99
