Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
Asus,23276.0,12961.0,15.6,1920,1080,16.0,512.0,Windows 11,1.82,1199.99
Other,16980.0,1476.0,15.6,1920,1080,16.0,256.0,Windows 10,1.6,897.95
Other,27476.0,26876.0,15.6,2560,1440,16.0,1024.0,Windows 10,2.01,2599.99
HP,9737.0,1476.0,17.3,1920,1080,32.0,1024.0,Windows 11,2.09,779.0
Acer,26423.0,17089.0,16.0,2560,1600,32.0,1024.0,Windows 11,2.68,1469.99
Asus,28523.0,17089.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.34,2913.99
Dell,10641.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 10,2.23,399.99
HP,235.0,1476.0,15.6,1366,768,16.0,1024.0,Windows 11,1.75,469.0
Apple,26235.0,12689.0,16.2,3456,2234,32.0,2048.0,Windows 10,2.16,3599.0
Lenovo,13775.0,1971.0,15.6,1920,1080,16.0,512.0,Windows 10,1.7,899.0
HP,16980.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,1.78,949.99
HP,13481.0,2690.0,14.0,1920,1200,16.0,256.0,Windows 11,1.38,1054.68
Lenovo,6978.0,1792.0,14.0,1920,1080,12.0,256.0,Windows 10,1.77,699.99
Other,29690.0,1971.0,15.6,2880,1620,16.0,1024.0,Windows 10,1.7,989.99
Asus,18658.0,17089.0,17.3,1920,1080,16.0,512.0,Windows 10,2.22,1199.99
HP,6132.0,1476.0,15.6,1366,768,16.0,1024.0,Windows 11,2.1,540.5
Dell,12421.0,7320.0,15.6,1366,768,16.0,2000.0,Windows 11,3.64,1914.49
Dell,28003.0,7320.0,17.0,1920,1200,16.0,512.0,Windows 11,3.64,2020.92
HP,13144.0,12984.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.77,588.29
Dell,15287.0,1971.0,15.6,1920,1080,16.0,512.0,Windows 10,1.81,969.99
HP,16506.0,1792.0,14.0,1920,1080,16.0,256.0,Windows 11,1.56,639.99
Lenovo,1323.0,1792.0,15.6,1920,1080,8.0,2048.0,Windows 10,2.22,639.99
MSI,26423.0,17089.0,17.3,1920,1080,64.0,2048.0,Windows 11,2.6,1999.99
Acer,23284.0,7868.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.68,941.78
Dell,13775.0,926.0,14.0,1920,1200,32.0,1024.0,Windows 11,1.77,949.0
Lenovo,3292.0,2040.0,13.3,1920,1080,4.0,32.0,Other,2.14,239.0
MSI,19333.0,14691.0,16.0,2560,1600,32.0,1024.0,Windows 11,2.1,2006.28
MSI,23276.0,12961.0,15.6,1920,1080,16.0,512.0,Windows 11,1.86,899.0
Asus,29690.0,2690.0,17.3,1920,1080,16.0,1024.0,Windows 11,1.72,999.99
Microsoft,7773.0,1792.0,13.5,1920,1080,16.0,256.0,Windows 10,1.7,1343.99
Dell,12421.0,4253.0,14.0,1920,1080,32.0,512.0,Windows 11,1.22,935.54
Lenovo,6978.0,1792.0,14.0,1920,1080,12.0,512.0,Windows 10,1.77,739.99
HP,6132.0,1476.0,15.6,1366,768,32.0,1024.0,Windows 11,1.77,549.79
Dell,27933.0,1476.0,15.6,1920,1080,16.0,256.0,Windows 11,1.61,1384.73
Asus,22681.0,25351.0,15.6,1920,1080,64.0,4096.0,Windows 11,2.31,2649.0
Asus,1325.0,1476.0,15.6,1366,768,4.0,500.0,Other,2.64,699.0
Acer,8473.0,12961.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.3,1079.0
Asus,18658.0,17089.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.7,1139.99
Dell,24971.0,1476.0,13.3,1920,1080,16.0,1000.0,Windows 10,1.14,785.39
LG,17329.0,1971.0,14.0,1920,1200,16.0,512.0,Windows 10,1.0,1349.0
Other,9970.0,1971.0,14.0,1366,768,16.0,512.0,Windows 10,2.1,2462.4
Acer,9475.0,1792.0,15.6,1920,1080,8.0,256.0,Windows 11,2.55,539.37
MSI,17229.0,17089.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.82,1539.0
Dell,15451.0,2690.0,14.0,1920,1200,16.0,2048.0,Windows 11,1.77,1099.0
Other,2003.0,18.0,14.0,1920,1080,8.0,32.0,Other,1.45,313.62
Lenovo,11027.0,1476.0,14.0,1920,1200,8.0,256.0,Windows 11,2.07,415.0
Asus,18658.0,17089.0,15.6,1920,1080,16.0,512.0,Windows 11,2.26,949.99
HP,11471.0,1792.0,14.0,1920,1080,8.0,256.0,Windows 10,2.0,876.69
Lenovo,23276.0,11706.0,15.6,1920,1080,16.0,256.0,Windows 10,4.39,999.0
Dell,9891.0,926.0,15.6,1920,1080,16.0,512.0,Windows 11,1.77,559.79
Lenovo,10346.0,2690.0,15.6,1920,1080,12.0,512.0,Windows 11,1.47,739.99
HP,5715.0,2040.0,17.3,1600,900,8.0,256.0,Windows 11,2.08,489.0
Lenovo,15853.0,1792.0,14.0,1920,1080,8.0,256.0,Windows 10,1.7,619.99
Asus,18825.0,1792.0,16.0,1920,1200,16.0,1024.0,Windows 11,1.88,735.99
Asus,28523.0,17089.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.34,2999.0
Dell,27476.0,15507.0,16.0,1920,1200,32.0,1024.0,Windows 11,1.61,3205.66
Lenovo,28003.0,926.0,16.0,1920,1200,16.0,512.0,Windows 10,1.94,1459.0
Lenovo,1323.0,1792.0,15.6,1920,1080,16.0,512.0,Windows 10,2.22,499.99
HP,9891.0,2690.0,15.6,1366,768,12.0,1024.0,Windows 11,1.78,679.0
Apple,15398.0,1722.0,13.6,2560,1664,24.0,256.0,Windows 10,1.24,1499.0
Dell,12421.0,7320.0,15.6,3840,2160,32.0,4000.0,Windows 11,3.64,2397.64
HP,5455.0,1476.0,14.0,1366,768,4.0,128.0,Windows 11,1.94,373.99
HP,23276.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.88,711.0
HP,14043.0,2690.0,14.0,1920,1200,32.0,512.0,Windows 11,1.96,2074.05
Dell,38538.0,20905.0,16.0,1920,1200,32.0,512.0,Windows 11,1.23,3493.99
Dell,12802.0,2438.0,15.6,1920,1080,4.0,128.0,Windows 11,3.64,1772.57
HP,16980.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,3.61,1521.74
HP,15287.0,1476.0,15.6,1920,1080,8.0,512.0,Windows 11,1.92,839.0
Dell,26423.0,12961.0,16.0,1920,1200,8.0,512.0,Windows 11,1.96,1049.0
Dell,24971.0,4253.0,15.6,1920,1080,16.0,512.0,Windows 10,1.82,1112.57
Lenovo,34115.0,19560.0,16.0,2560,1600,64.0,1024.0,Windows 11,2.55,2159.0
HP,16980.0,2690.0,14.0,1920,1080,8.0,256.0,Windows 11,2.6,599.49
Dell,15853.0,2040.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.83,761.31
Lenovo,9891.0,1476.0,15.6,1920,1080,36.0,1024.0,Windows 11,1.77,799.79
Lenovo,19333.0,22064.0,14.0,1920,1200,32.0,1024.0,Windows 10,1.34,2236.25
Other,1316.0,748.0,14.0,1920,1080,8.0,128.0,Windows 10,1.38,799.99
Asus,14526.0,7868.0,17.3,1920,1080,32.0,2048.0,Windows 11,2.27,1179.0
Asus,1556.0,4253.0,15.6,1920,1080,4.0,64.0,Windows 10,1.59,225.0
HP,2003.0,1476.0,11.6,1366,768,4.0,32.0,Other,2.34,228.0
Other,13554.0,4253.0,15.6,1920,1080,16.0,1000.0,Windows 11,1.73,879.99
HP,9891.0,2690.0,17.3,1920,1080,32.0,1024.0,Windows 10,1.77,789.97
Lenovo,1556.0,926.0,14.0,1920,1080,4.0,64.0,Windows 10,1.77,246.99
Lenovo,21525.0,12961.0,15.6,1920,1080,8.0,512.0,Windows 11,1.72,938.99
MSI,26454.0,14691.0,16.0,2560,1600,64.0,2048.0,Windows 11,2.26,1499.0
Apple,15398.0,1722.0,13.6,2560,1664,16.0,512.0,Windows 10,1.24,1299.0
Other,10779.0,926.0,13.1,1024,768,16.0,1024.0,Windows 10,3.59,625.0
HP,11325.0,1792.0,13.3,1920,1080,8.0,256.0,Windows 11,1.56,837.94
Dell,15451.0,1971.0,13.3,1920,1080,16.0,256.0,Windows 10,1.35,1499.0
Acer,28003.0,7320.0,16.0,1920,1200,32.0,1024.0,Windows 10,2.09,1549.0
Dell,2999.0,1476.0,14.0,1366,768,16.0,128.0,Windows 10,1.51,303.98
MSI,23276.0,14691.0,15.6,1920,1080,16.0,512.0,Windows 11,2.22,1075.0
Other,9891.0,4253.0,15.6,1920,1080,20.0,1000.0,Windows 11,1.7,599.99
Lenovo,23062.0,2690.0,12.3,1920,1200,16.0,512.0,Windows 11,1.23,849.99
Dell,27933.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,2.36,1420.0
Apple,15398.0,1722.0,13.6,2560,1664,24.0,1024.0,Windows 10,1.24,1899.0
Microsoft,13775.0,1971.0,15.0,2496,1664,16.0,512.0,Windows 10,1.56,1799.0
Dell,3554.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,1.81,712.3
HP,10999.0,2040.0,17.3,1920,1080,12.0,256.0,Windows 11,2.32,719.0
Dell,13554.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,1.66,425.0
Dell,15451.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,1.77,965.0
Dell,23062.0,2690.0,14.0,1920,1080,16.0,256.0,Windows 10,1.45,710.89
HP,3310.0,1476.0,11.6,1366,768,4.0,64.0,Windows 10,1.51,468.95
Acer,8473.0,12961.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.18,1229.0
Lenovo,15853.0,1792.0,14.0,1920,1080,8.0,256.0,Windows 11,2.41,479.99
Dell,6226.0,1042.0,14.1,1366,768,8.0,256.0,Windows 10,1.41,306.52
Lenovo,9606.0,2690.0,13.3,1920,1080,16.0,512.0,Windows 10,1.99,629.99
Dell,28003.0,4253.0,13.4,1920,1200,32.0,1000.0,Windows 11,1.23,1644.1
Asus,1144.0,298.0,13.3,1366,768,4.0,320.0,Other,1.68,799.0
Lenovo,18462.0,1792.0,15.6,1920,1080,16.0,512.0,Windows 10,2.22,889.0
Dell,32140.0,7320.0,15.6,1920,1080,8.0,8192.0,Windows 11,1.98,2259.0
HP,15348.0,13370.0,16.0,1920,1200,16.0,512.0,Windows 10,1.76,1839.95
HP,4982.0,1476.0,14.0,1366,768,4.0,128.0,Windows 10,1.5,295.95
HP,5197.0,1476.0,15.6,1366,768,4.0,256.0,Windows 10,1.7,459.99
Lenovo,20843.0,926.0,15.6,1920,1080,20.0,1024.0,Windows 11,1.95,581.0
HP,18435.0,7320.0,15.6,1920,1080,8.0,512.0,Windows 11,1.85,639.99
Lenovo,9891.0,2690.0,14.0,1920,1080,8.0,256.0,Windows 11,2.38,829.0
HP,17329.0,2690.0,15.0,1920,1080,8.0,256.0,Windows 11,1.69,408.0
Other,26423.0,23757.0,15.6,2560,1440,16.0,1024.0,Windows 11,1.77,2999.0
Lenovo,17868.0,3436.0,14.0,1920,1200,16.0,512.0,Windows 11,2.35,1242.05
MSI,28003.0,2690.0,14.0,1920,1200,32.0,1024.0,Windows 11,1.6,1476.98
Acer,26454.0,7320.0,15.6,1927,1080,16.0,512.0,Windows 11,2.14,1049.99
Lenovo,13144.0,1792.0,15.6,1920,1080,8.0,512.0,Windows 11,1.6,379.99
Dell,178.0,296.0,15.6,1920,1080,8.0,256.0,Windows 11,2.18,639.99
Dell,8185.0,23757.0,17.3,1920,1080,32.0,2000.0,Windows 11,3.64,2598.74
HP,34115.0,22064.0,16.0,1920,1200,32.0,1024.0,Windows 10,2.4,2303.95
Lenovo,13554.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,2.4,599.99
Dell,10346.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,2.06,979.99
Dell,13481.0,926.0,14.0,1920,1080,16.0,512.0,Windows 10,1.4,749.99
HP,15451.0,2690.0,13.5,1920,1280,32.0,1024.0,Windows 11,1.32,2069.17
HP,15451.0,1971.0,13.5,1920,1280,32.0,1024.0,Windows 10,1.0,2065.95
HP,20843.0,2690.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.0,678.49
Other,9970.0,1971.0,14.0,1920,1080,16.0,512.0,Windows 10,2.2,3191.24
Microsoft,14043.0,1971.0,13.5,2256,1504,32.0,512.0,Windows 10,1.3,2231.82
Lenovo,15853.0,2040.0,14.0,2240,1400,16.0,1024.0,Windows 11,1.55,879.0
Dell,10779.0,4253.0,13.3,1920,1080,16.0,512.0,Windows 11,1.18,1256.53
Dell,16980.0,2690.0,13.3,1920,1080,8.0,256.0,Windows 11,1.51,1036.4
Asus,14526.0,7868.0,17.3,1920,1080,32.0,4096.0,Windows 10,2.59,1429.0
Dell,28003.0,2690.0,16.0,2560,1600,32.0,1024.0,Windows 10,1.71,1439.0
Dell,18462.0,1476.0,14.0,1920,1200,16.0,1024.0,Windows 11,1.55,669.94
Dell,19012.0,12961.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.56,1039.0
HP,10346.0,2690.0,15.6,1920,1080,12.0,256.0,Windows 11,1.94,725.0
Dell,26423.0,12961.0,15.6,1920,1200,64.0,4096.0,Windows 11,1.91,2304.88
Microsoft,14501.0,2690.0,12.4,1536,1024,16.0,512.0,Windows 11,1.66,1239.99
Acer,23284.0,5051.0,15.6,1920,1080,20.0,256.0,Windows 10,1.77,886.99
HP,10346.0,2690.0,15.6,1920,1080,32.0,512.0,Windows 11,2.73,769.99
Acer,15287.0,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.81,819.99
Asus,13144.0,2040.0,14.0,1920,1080,8.0,512.0,Windows 11,1.5,524.0
Dell,12421.0,26876.0,15.6,1366,768,32.0,4000.0,Windows 11,3.64,2691.91
Dell,6132.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,1.5,399.99
Asus,21133.0,2040.0,14.0,1920,1080,16.0,2048.0,Windows 10,1.3,1169.0
Asus,24268.0,13834.0,16.0,1920,1080,16.0,512.0,Windows 11,2.2,997.49
Lenovo,10641.0,926.0,13.3,1920,1080,16.0,2048.0,Windows 10,1.77,1139.99
Asus,26454.0,12961.0,15.6,1920,1080,24.0,1024.0,Windows 10,1.82,1259.0
HP,10346.0,2690.0,15.6,1920,1080,32.0,1024.0,Windows 10,1.12,1039.99
HP,20254.0,240.0,15.6,1920,1080,16.0,512.0,Windows 10,1.8,1045.89
Apple,35380.0,13357.0,16.2,3456,2234,48.0,512.0,Windows 10,2.2,3799.0
Dell,3554.0,4253.0,14.0,1920,1080,16.0,256.0,Windows 11,1.55,946.43
Dell,7460.0,1247.0,15.6,1920,1080,16.0,256.0,Windows 10,2.0,594.78
Dell,7460.0,1476.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.22,599.99
MSI,24268.0,19560.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.58,1089.99
Apple,15398.0,1722.0,13.6,2560,1664,24.0,2048.0,Windows 10,1.24,2299.0
HP,6132.0,926.0,15.6,1920,1080,8.0,256.0,Windows 10,1.77,378.79
Lenovo,10552.0,1602.0,14.0,1920,1080,32.0,1024.0,Windows 11,1.47,1339.0
Dell,12421.0,2438.0,13.3,1920,1080,8.0,256.0,Windows 10,1.64,889.0
Apple,15398.0,2152.0,13.6,2560,1664,8.0,1024.0,Windows 10,1.24,1699.0
Lenovo,2187.0,1476.0,12.5,1366,768,8.0,256.0,Windows 10,1.57,403.98
Dell,15451.0,1971.0,15.6,1920,1080,16.0,256.0,Windows 10,1.61,1355.95
HP,9891.0,926.0,15.6,1920,1080,8.0,512.0,Windows 11,1.77,569.79
MSI,26454.0,19560.0,16.0,2560,1600,64.0,1024.0,Windows 10,5.0,1949.0
Apple,26235.0,12689.0,16.2,3456,2234,96.0,2048.0,Windows 10,2.16,4499.0
HP,10444.0,2690.0,14.0,1920,1080,32.0,2048.0,Windows 10,1.44,1379.0
Lenovo,24556.0,1792.0,14.0,1920,1200,16.0,512.0,Windows 11,0.77,999.0
Other,5641.0,1476.0,14.0,1920,1080,12.0,500.0,Windows 11,2.5,392.99
Dell,23728.0,12961.0,14.0,1920,1080,16.0,1000.0,Windows 11,3.64,1663.52
Other,19333.0,1971.0,16.0,2880,1800,16.0,1024.0,Windows 10,1.56,1749.99
Asus,23276.0,12961.0,15.6,2560,1440,16.0,1024.0,Windows 11,2.73,1374.99
HP,15451.0,1971.0,14.0,2560,1600,32.0,1024.0,Windows 10,1.33,2199.0
Asus,29690.0,19560.0,14.5,2880,1800,32.0,1024.0,Windows 11,1.75,2299.99
Acer,9475.0,11706.0,15.6,1920,1080,8.0,512.0,Windows 11,2.32,449.99
Lenovo,24971.0,18292.0,16.0,3840,2400,32.0,1024.0,Windows 10,1.86,2769.95
HP,18753.0,12961.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.68,1079.99
MSI,20753.0,12961.0,17.3,1920,1080,16.0,512.0,Windows 11,2.32,1399.0
HP,6132.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 10,2.0,375.0
Lenovo,9891.0,2690.0,14.0,1920,1080,8.0,512.0,Windows 11,1.36,599.99
MSI,26454.0,19560.0,17.3,1920,1080,48.0,1024.0,Windows 11,2.6,1749.6
Dell,2625.0,1818.0,16.0,1920,1080,16.0,512.0,Windows 11,0.64,769.99
MSI,17441.0,12961.0,15.6,1920,1080,16.0,512.0,Windows 10,2.25,949.0
Lenovo,1486.0,1476.0,15.6,1366,768,12.0,128.0,Windows 10,1.85,447.0
HP,16980.0,2690.0,17.3,1920,1080,16.0,1024.0,Windows 11,2.48,760.79
Acer,1417.0,324.0,15.6,1366,768,4.0,32.0,Other,1.99,226.99
Dell,23656.0,12961.0,15.6,1920,1080,64.0,4096.0,Windows 11,2.52,1749.0
Dell,3642.0,1476.0,15.6,1920,1080,32.0,512.0,Windows 11,2.38,846.61
Asus,13775.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.94,999.99
HP,13144.0,1792.0,17.3,1920,1080,8.0,512.0,Windows 10,2.22,737.79
Other,2542.0,324.0,14.0,1366,768,8.0,480.0,Windows 10,2.55,550.0
HP,2169.0,1476.0,15.6,1366,768,4.0,64.0,Windows 11,1.45,298.5
Dell,24334.0,1792.0,14.0,1920,1200,32.0,1024.0,Windows 11,2.58,949.0
Lenovo,9891.0,2690.0,15.6,1920,1080,20.0,512.0,Windows 11,2.5,582.0
Acer,16162.0,12961.0,15.6,1920,1080,8.0,512.0,Windows 10,2.2,949.0
LG,12421.0,4253.0,14.0,2560,1600,16.0,512.0,Windows 11,1.0,1099.0
Asus,3855.0,2040.0,14.0,1920,1080,8.0,1024.0,Windows 10,1.45,739.99
Dell,2350.0,7576.0,15.6,1920,1200,32.0,1024.0,Windows 10,1.2,1599.99
Dell,26423.0,17089.0,17.0,3840,2400,64.0,4096.0,Windows 11,2.41,3799.0
Lenovo,10346.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 10,1.4,1099.99
HP,28003.0,15597.0,16.0,1920,1200,32.0,1024.0,Windows 11,1.29,2865.99
HP,16980.0,1971.0,13.3,1920,1080,16.0,256.0,Windows 10,1.2,1111.95
Lenovo,18753.0,12961.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.96,889.99
Dell,24971.0,4253.0,14.0,1920,1080,32.0,1000.0,Windows 10,1.23,999.99
HP,16980.0,1971.0,14.0,1920,1080,8.0,256.0,Windows 10,1.42,871.82
Asus,18658.0,17089.0,15.6,1920,1080,16.0,2048.0,Windows 10,2.32,1349.0
Acer,15287.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,1.48,799.99
Lenovo,16980.0,2690.0,13.3,1920,1200,16.0,512.0,Windows 10,2.07,892.32
HP,2703.0,4253.0,14.0,1366,768,8.0,120.0,Windows 10,1.8,257.98
Dell,13775.0,2690.0,15.6,1920,1080,32.0,2048.0,Windows 11,1.77,1195.0
Asus,23896.0,17089.0,15.6,2560,1440,16.0,1024.0,Windows 11,1.9,1769.0
Dell,27933.0,2690.0,14.0,1920,1200,16.0,256.0,Windows 11,1.32,1117.48
Lenovo,16980.0,2690.0,16.0,1920,1200,16.0,512.0,Windows 10,1.7,1349.95
Acer,23284.0,12961.0,15.6,1920,1080,16.0,2048.0,Windows 10,2.68,1219.99
HP,13554.0,2690.0,15.6,1366,768,32.0,512.0,Windows 11,1.77,699.79
HP,23656.0,17089.0,16.1,1920,1080,32.0,1024.0,Windows 11,2.73,1659.99
Dell,26423.0,17089.0,17.0,3840,2400,64.0,4096.0,Windows 11,1.72,2803.22
Asus,22681.0,10181.0,15.6,1920,1080,16.0,8192.0,Windows 11,1.77,2669.99
Lenovo,17229.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,2.13,1988.53
Lenovo,2230.0,926.0,15.6,1920,1080,8.0,320.0,Windows 10,1.51,264.0
Lenovo,34115.0,22064.0,16.0,2560,1600,16.0,512.0,Windows 10,2.9,2045.44
Dell,9891.0,926.0,15.6,1920,1080,8.0,512.0,Windows 11,1.77,529.19
Dell,9970.0,2690.0,14.0,1920,1080,8.0,512.0,Windows 10,1.23,639.0
Dell,26423.0,17089.0,16.0,2560,1600,48.0,1024.0,Windows 10,3.64,1649.0
Lenovo,16980.0,2690.0,14.0,1920,1080,8.0,256.0,Windows 11,1.23,689.99
Lenovo,24556.0,7108.0,14.0,1920,1200,16.0,512.0,Windows 10,0.74,941.45
HP,16980.0,2690.0,17.3,1920,1080,32.0,512.0,Windows 11,2.02,779.0
HP,23276.0,7041.0,15.6,1920,1080,32.0,2048.0,Windows 11,2.32,1599.99
HP,27933.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,1.45,1966.32
Acer,23656.0,23757.0,15.6,2560,1440,32.0,1024.0,Windows 11,2.68,1332.0
Acer,10280.0,2690.0,15.6,1920,1080,8.0,256.0,Windows 10,1.82,450.61
Dell,9891.0,926.0,15.6,1920,1080,32.0,512.0,Windows 11,1.77,599.79
Other,3653.0,926.0,13.5,1920,1080,16.0,512.0,Windows 10,1.56,1771.99
HP,16980.0,2690.0,13.3,1920,1200,16.0,256.0,Windows 11,1.76,1500.18
Lenovo,6132.0,1476.0,15.6,1920,1080,4.0,128.0,Windows 11,1.77,429.0
MSI,23276.0,19560.0,15.6,1920,1080,32.0,2048.0,Windows 11,2.27,1509.0
Acer,2350.0,14124.0,15.6,1920,1080,16.0,512.0,Windows 10,2.5,1399.0
Other,13554.0,1971.0,14.1,1920,1080,8.0,512.0,Windows 10,1.6,699.0
HP,9891.0,926.0,15.6,1920,1080,32.0,512.0,Windows 11,1.77,666.79
Acer,24971.0,10181.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.68,1039.79
Dell,23728.0,23757.0,15.6,2560,1440,32.0,1000.0,Windows 11,3.64,1905.07
Dell,23728.0,12961.0,15.6,1920,1200,32.0,512.0,Windows 11,3.64,1932.92
Lenovo,2100.0,926.0,13.3,1600,900,8.0,128.0,Other,1.77,824.99
Acer,20753.0,12961.0,15.6,1920,1080,8.0,512.0,Windows 10,2.2,899.0
Lenovo,3642.0,1476.0,15.6,1920,1080,16.0,512.0,Windows 11,1.63,598.0
Dell,26423.0,17089.0,17.0,3840,2400,32.0,2048.0,Windows 11,2.17,3279.0
Dell,2010.0,4253.0,13.3,1366,768,8.0,256.0,Windows 10,1.5,592.5
Dell,13775.0,2690.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.94,999.0
Acer,17329.0,12961.0,15.6,1920,1080,48.0,2048.0,Windows 11,2.48,1109.0
Dell,16980.0,2690.0,14.0,1920,1080,8.0,256.0,Windows 11,2.13,729.77
Lenovo,10346.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 10,1.4,999.98
Lenovo,17868.0,1792.0,16.0,1920,1200,16.0,256.0,Windows 11,2.5,1113.94
Asus,739.0,236.0,15.6,1366,768,4.0,500.0,Other,0.55,499.0
Lenovo,9173.0,926.0,13.3,2160,1350,16.0,512.0,Windows 10,2.38,999.99
Lenovo,22977.0,5493.0,16.0,1920,1200,16.0,512.0,Windows 10,1.94,1693.5
HP,9737.0,1476.0,17.3,1600,900,8.0,512.0,Windows 11,2.12,542.78
Asus,3855.0,891.0,15.6,1920,1080,16.0,1024.0,Windows 10,1.76,769.0
Asus,9891.0,2690.0,15.6,1920,1080,12.0,512.0,Windows 10,2.86,569.0
Acer,24971.0,10181.0,15.6,1920,1080,32.0,2048.0,Windows 11,2.68,1276.79
Asus,17441.0,12961.0,15.6,1920,1080,8.0,512.0,Windows 11,3.55,881.94
Dell,18462.0,37.0,15.6,1920,1080,16.0,512.0,Windows 11,1.72,954.99
Dell,12802.0,1476.0,15.6,1366,768,16.0,512.0,Windows 11,3.64,1029.1
HP,16980.0,2690.0,15.6,1920,1080,8.0,256.0,Windows 11,1.78,1118.49
Acer,34115.0,19560.0,16.0,2560,1600,16.0,1024.0,Windows 11,2.6,1199.99
Lenovo,13775.0,4253.0,16.0,2560,1600,16.0,512.0,Windows 11,2.1,774.99
Lenovo,13775.0,2690.0,14.0,2240,1440,16.0,512.0,Windows 11,1.89,1064.99
Lenovo,10280.0,2690.0,15.6,1920,1080,8.0,512.0,Windows 10,3.08,599.0
HP,9891.0,926.0,15.6,1920,1080,16.0,2048.0,Windows 10,1.77,859.99
Apple,15398.0,1722.0,13.6,2560,1664,24.0,2048.0,Windows 10,1.24,2299.0
Lenovo,23276.0,11706.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.46,999.0
Acer,29805.0,12961.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.22,969.79
Acer,4982.0,926.0,15.6,1920,1080,8.0,256.0,Windows 10,2.22,499.99
HP,16980.0,2690.0,17.3,1920,1080,16.0,1024.0,Windows 11,1.41,829.0
Dell,27476.0,22064.0,14.0,1920,1200,32.0,512.0,Windows 10,1.48,2186.5
Lenovo,24971.0,9547.0,16.0,2560,1600,16.0,512.0,Windows 11,2.64,2271.95
Dell,12421.0,7320.0,15.6,1366,768,24.0,512.0,Windows 11,3.64,1977.96
HP,3855.0,2040.0,14.0,1920,1080,16.0,512.0,Windows 11,1.47,372.0
Dell,26423.0,17089.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.06,1299.0
Other,28003.0,7320.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.31,1599.99
Acer,15287.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.78,699.99
HP,13554.0,2690.0,14.0,1920,1080,8.0,512.0,Windows 11,1.55,599.49
Lenovo,1628.0,1487.0,15.6,1920,1080,20.0,512.0,Windows 10,1.91,585.69
Lenovo,13554.0,1476.0,14.0,1920,1080,8.0,256.0,Windows 11,1.96,1039.99
HP,2458.0,240.0,14.0,1366,768,4.0,64.0,Windows 10,1.45,239.0
Asus,10346.0,2690.0,14.0,1920,1080,16.0,1024.0,Windows 10,2.53,589.99
Lenovo,6132.0,1476.0,14.0,1920,1080,8.0,512.0,Windows 11,1.5,439.0
Lenovo,3828.0,1792.0,14.0,1920,1080,8.0,128.0,Windows 10,2.39,199.0
Dell,26423.0,12961.0,16.0,1920,1200,24.0,2048.0,Windows 11,2.03,1059.99
Lenovo,18825.0,1792.0,14.0,1920,1200,16.0,512.0,Windows 11,1.38,885.13
Dell,28003.0,1476.0,15.6,1920,1080,16.0,512.0,Windows 11,3.64,1149.99
Lenovo,13554.0,2690.0,14.0,1920,1200,8.0,256.0,Windows 10,1.38,1019.0
Other,10779.0,586.0,14.0,1366,768,16.0,1024.0,Windows 10,1.98,689.99
Asus,29690.0,19560.0,14.5,2560,1600,32.0,1024.0,Windows 11,4.45,2299.0
Lenovo,2991.0,1476.0,14.0,1366,768,16.0,500.0,Windows 10,2.25,234.98
